Drug1_ID,Drug2_ID,Y,Neg samples
DB00862,DB00966,1,DB00811$t
DB01235,DB01275,1,DB01296$t
DB01609,DB06212,1,DB00162$h
DB01232,DB09291,1,DB08877$h
DB00104,DB00908,1,DB09055$t
DB01222,DB09063,1,DB00820$t
DB00898,DB01589,1,DB01068$h
DB00762,DB09054,1,DB00263$h
DB00186,DB09071,1,DB01224$h
DB00396,DB00682,1,DB00442$h
DB00368,DB01551,1,DB00177$h
DB01320,DB09061,1,DB08947$h
DB00186,DB00572,1,DB00704$t
DB00921,DB09272,1,DB00273$h
DB01100,DB06201,1,DB01168$h
DB01095,DB01393,1,DB00450$h
DB00211,DB00316,1,DB00774$h
DB00177,DB09401,1,DB00197$h
DB01211,DB01215,1,DB00338$h
DB00603,DB01418,1,DB00957$t
DB01268,DB01394,1,DB01218$h
DB00834,DB09039,1,DB01411$h
DB00104,DB08881,1,DB00861$t
DB00625,DB00956,1,DB00703$h
DB00624,DB00834,1,DB00987$t
DB00390,DB00986,1,DB00413$h
DB01207,DB06228,1,DB00950$h
DB00252,DB01182,1,DB00959$h
DB01166,DB06636,1,DB00311$t
DB09118,DB09128,1,DB01597$t
DB08873,DB08881,1,DB06176$h
DB00397,DB00983,1,DB00549$h
DB00126,DB00717,1,DB00035$h
DB00243,DB08889,1,DB00846$t
DB00991,DB01254,1,DB01264$t
DB00238,DB01319,1,DB09074$h
DB00328,DB04272,1,DB01618$t
DB01207,DB08976,1,DB08932$h
DB01036,DB06290,1,DB06695$h
DB01233,DB01238,1,DB09061$h
DB01184,DB09065,1,DB00396$h
DB00204,DB00887,1,DB00260$t
DB04855,DB09053,1,DB08896$t
DB00337,DB01181,1,DB00986$t
DB00816,DB00871,1,DB01438$h
DB00542,DB09282,1,DB00570$h
DB00959,DB08873,1,DB00210$t
DB01224,DB04876,1,DB00308$t
DB06480,DB09123,1,DB09101$t
DB00193,DB05521,1,DB06636$t
DB01100,DB01319,1,DB00819$t
DB00623,DB09076,1,DB00876$h
DB00864,DB01320,1,DB00400$t
DB04938,DB09063,1,DB01413$h
DB00864,DB00991,1,DB01063$t
DB00960,DB01119,1,DB04876$h
DB00798,DB01163,1,DB00535$h
DB00273,DB06282,1,DB01251$t
DB00284,DB01208,1,DB04910$h
DB00784,DB00790,1,DB01357$t
DB00673,DB08912,1,DB00973$t
DB00310,DB00391,1,DB06791$h
DB01023,DB01235,1,DB09078$h
DB00898,DB01100,1,DB00740$t
DB00334,DB01553,1,DB00814$t
DB00571,DB08881,1,DB09183$t
DB00252,DB00903,1,DB06782$h
DB00188,DB09118,1,DB00975$h
DB00959,DB09220,1,DB00363$h
DB00796,DB01119,1,DB00700$t
DB01418,DB08816,1,DB00356$h
DB00820,DB00999,1,DB00742$t
DB00687,DB06335,1,DB00678$t
DB00196,DB00338,1,DB09477$t
DB00794,DB00921,1,DB00443$t
DB00880,DB01016,1,DB01264$t
DB00688,DB08795,1,DB00718$h
DB00479,DB00535,1,DB00747$t
DB06772,DB09063,1,DB00700$t
DB00682,DB06695,1,DB00559$t
DB00343,DB00794,1,DB01100$h
DB00390,DB00500,1,DB00695$h
DB00864,DB08916,1,DB00839$t
DB00450,DB09271,1,DB00554$t
DB00409,DB06684,1,DB09220$t
DB00327,DB01247,1,DB00327$t
DB00280,DB06717,1,DB09477$h
DB00374,DB00700,1,DB01073$h
DB00136,DB06290,1,DB00211$h
DB01062,DB01072,1,DB00760$h
