Epoch,Train Loss,Val Loss,Train Accuracy,Val Accuracy,Train AUC ROC,Val AUC ROC,Train PR,Val PR,Train F1,Val F1,Train Recall,Val Recall,Train Int AP,Val Int AP,Train AP,Val AP
1,0.4764,0.5262,0.7756,0.7447,0.8531,0.852,0.7875,0.6444,0.8102,0.7296,0.8343,0.8409,0.8779,0.813,0.8779,0.813
2,0.3146,0.4188,0.8605,0.8114,0.9374,0.8947,0.8679,0.7496,0.8803,0.7788,0.8931,0.8105,0.9528,0.8642,0.9528,0.8642
3,0.2502,0.4011,0.8934,0.8291,0.961,0.9123,0.9021,0.7649,0.9078,0.8014,0.9134,0.8415,0.9712,0.8836,0.9712,0.8836
4,0.2155,0.3825,0.9094,0.8437,0.9712,0.9273,0.9195,0.7746,0.9213,0.8205,0.9231,0.8724,0.9791,0.902,0.9791,0.902
5,0.1975,0.3544,0.9178,0.8519,0.9759,0.9347,0.9279,0.7848,0.9285,0.8295,0.929,0.8797,0.9825,0.9128,0.9825,0.9128
6,0.1828,0.3589,0.924,0.8537,0.9793,0.9421,0.9343,0.7744,0.9338,0.8356,0.9333,0.9073,0.9851,0.9228,0.9851,0.9228
7,0.1749,0.3176,0.9275,0.8678,0.9811,0.9451,0.9372,0.8101,0.9369,0.8457,0.9365,0.8847,0.9863,0.9271,0.9863,0.9271
8,0.1667,0.3214,0.9312,0.8702,0.9828,0.9516,0.9408,0.8008,0.94,0.8516,0.9392,0.9094,0.9876,0.9356,0.9876,0.9356
9,0.1607,0.304,0.934,0.875,0.984,0.9532,0.9435,0.811,0.9425,0.856,0.9414,0.9062,0.9885,0.938,0.9885,0.938
10,0.1568,0.3046,0.9359,0.8791,0.9848,0.9565,0.9453,0.8152,0.9441,0.8607,0.943,0.9115,0.989,0.9434,0.989,0.9434
11,0.1532,0.2926,0.9377,0.8827,0.9855,0.9589,0.9467,0.8196,0.9457,0.8647,0.9448,0.9151,0.9895,0.9456,0.9895,0.9456
12,0.1491,0.2762,0.9389,0.8878,0.9862,0.9577,0.9479,0.848,0.9468,0.866,0.9456,0.8849,0.9901,0.9452,0.99,0.9452
13,0.1457,0.2722,0.9407,0.891,0.9868,0.9623,0.9497,0.8378,0.9483,0.8725,0.947,0.9103,0.9905,0.9508,0.9905,0.9507
14,0.1422,0.3068,0.9422,0.8784,0.9875,0.962,0.9509,0.8016,0.9496,0.863,0.9484,0.9345,0.9909,0.9507,0.9909,0.9507
15,0.1408,0.2857,0.9432,0.8857,0.9877,0.9637,0.9517,0.816,0.9505,0.8697,0.9492,0.931,0.9911,0.9518,0.9911,0.9518
16,0.1376,0.2573,0.9446,0.897,0.9882,0.9645,0.9532,0.8547,0.9517,0.8776,0.9502,0.9018,0.9915,0.9539,0.9915,0.9539
17,0.1347,0.2513,0.9458,0.8986,0.9887,0.9661,0.9542,0.852,0.9527,0.8803,0.9512,0.9106,0.9918,0.9565,0.9918,0.9565
18,0.1328,0.2815,0.9468,0.8886,0.989,0.9627,0.955,0.8265,0.9536,0.8714,0.9522,0.9216,0.9921,0.9507,0.992,0.9507
19,0.1318,0.2425,0.9471,0.9024,0.9892,0.9678,0.9553,0.8598,0.9539,0.8843,0.9524,0.9103,0.9922,0.9579,0.9922,0.9579
20,0.1291,0.2392,0.9483,0.9041,0.9896,0.9684,0.9567,0.863,0.9549,0.8861,0.9531,0.9106,0.9925,0.959,0.9925,0.959
21,0.1272,0.2306,0.9493,0.9068,0.9899,0.97,0.9574,0.8684,0.9558,0.889,0.9541,0.9106,0.9927,0.9609,0.9927,0.9609
22,0.1254,0.2342,0.9499,0.9082,0.9902,0.971,0.958,0.8648,0.9563,0.8914,0.9546,0.9197,0.9929,0.9619,0.9929,0.9619
23,0.1245,0.231,0.9504,0.9075,0.9903,0.9684,0.9585,0.8813,0.9567,0.8879,0.9549,0.8947,0.993,0.959,0.993,0.959
24,0.1228,0.2303,0.9511,0.9059,0.9906,0.9708,0.9592,0.8587,0.9574,0.8893,0.9555,0.9221,0.9932,0.9621,0.9932,0.9621
25,0.1212,0.2597,0.9516,0.9,0.9909,0.9697,0.9596,0.84,0.9578,0.8844,0.9561,0.9337,0.9934,0.9599,0.9934,0.9599
26,0.1205,0.2687,0.952,0.8942,0.991,0.9675,0.9601,0.8303,0.9581,0.8783,0.9562,0.9321,0.9935,0.9569,0.9934,0.9569
