Epoch,Train Loss,Val Loss,Train Accuracy,Val Accuracy,Train AUC ROC,Val AUC ROC,Train PR,Val PR,Train F1,Val F1,Train Recall,Val Recall,Train Int AP,Val Int AP,Train AP,Val AP
1,0.8186,0.689,0.5377,0.5239,0.5463,0.6493,0.5376,0.72,0.5377,0.1416,0.5377,0.0785,0.5317,0.6249,0.5318,0.6253
2,0.6735,0.6663,0.5762,0.5867,0.61,0.6264,0.5725,0.5806,0.5868,0.6019,0.6018,0.6248,0.5884,0.602,0.5884,0.6023
3,0.6586,0.647,0.5992,0.6182,0.6407,0.6765,0.5905,0.5845,0.6176,0.6819,0.6473,0.8182,0.6131,0.6478,0.6132,0.6481
4,0.6447,0.6305,0.62,0.632,0.6673,0.7236,0.6076,0.5838,0.6406,0.7144,0.6775,0.9205,0.6371,0.6957,0.6372,0.6959
5,0.6185,0.6004,0.6476,0.6756,0.7071,0.739,0.6306,0.6362,0.6691,0.7168,0.7125,0.8206,0.6781,0.7116,0.6781,0.7118
6,0.6022,0.5777,0.6677,0.6899,0.7308,0.7603,0.6493,0.6545,0.687,0.722,0.7295,0.8051,0.7007,0.7327,0.7008,0.7329
7,0.5791,0.5638,0.6874,0.705,0.7563,0.7765,0.665,0.6642,0.7072,0.7377,0.7551,0.8294,0.7296,0.7437,0.7296,0.7439
8,0.5643,0.5416,0.7035,0.7181,0.7727,0.7957,0.6795,0.6886,0.7221,0.7386,0.7704,0.7964,0.7432,0.7715,0.7432,0.7717
9,0.5412,0.5383,0.7241,0.7239,0.7959,0.8015,0.698,0.6803,0.7411,0.7537,0.79,0.8449,0.7673,0.7748,0.7673,0.775
10,0.5332,0.5186,0.729,0.7442,0.8031,0.8161,0.703,0.718,0.7453,0.7589,0.7931,0.8047,0.7748,0.7908,0.7749,0.7909
11,0.5062,0.5123,0.7486,0.7488,0.8257,0.8238,0.7222,0.7344,0.7627,0.7565,0.8081,0.7799,0.7996,0.8008,0.7996,0.8009
12,0.4904,0.5251,0.7588,0.7396,0.8383,0.8307,0.7334,0.7802,0.7712,0.7194,0.813,0.6675,0.8161,0.8052,0.8161,0.8053
13,0.4759,0.4857,0.7688,0.7712,0.8491,0.8498,0.7428,0.7728,0.7806,0.7705,0.8225,0.7683,0.826,0.8303,0.826,0.8304
14,0.4459,0.4677,0.7901,0.7779,0.8694,0.8619,0.7636,0.7745,0.8001,0.7794,0.8403,0.7843,0.8491,0.8431,0.8491,0.8432
15,0.4325,0.4472,0.7989,0.7872,0.8785,0.8699,0.7736,0.754,0.8077,0.8003,0.845,0.8526,0.8607,0.8485,0.8607,0.8486
16,0.4169,0.4555,0.8088,0.7852,0.8882,0.8672,0.7842,0.7801,0.8167,0.7872,0.8521,0.7945,0.8724,0.8464,0.8725,0.8465
17,0.3996,0.4476,0.8181,0.7998,0.8978,0.8731,0.793,0.7656,0.8255,0.8119,0.8608,0.8643,0.883,0.8524,0.883,0.8525
18,0.3854,0.4441,0.827,0.7935,0.9051,0.8733,0.8031,0.7731,0.8336,0.8009,0.8665,0.8308,0.8909,0.8556,0.8909,0.8556
19,0.3712,0.4302,0.8339,0.8019,0.912,0.8822,0.8105,0.7806,0.8399,0.8092,0.8715,0.84,0.8995,0.8619,0.8995,0.8619
20,0.3561,0.4203,0.8416,0.8058,0.9193,0.889,0.821,0.7797,0.8465,0.8145,0.8737,0.8526,0.9062,0.8717,0.9062,0.8718
21,0.3428,0.424,0.8494,0.8136,0.9258,0.8937,0.8271,0.8197,0.8544,0.8118,0.8835,0.8042,0.9157,0.8713,0.9157,0.8714
22,0.3315,0.4103,0.8541,0.8204,0.9305,0.8953,0.8334,0.7935,0.8585,0.8283,0.8852,0.8662,0.921,0.8711,0.921,0.8712
23,0.3165,0.4017,0.8644,0.8264,0.9374,0.9032,0.8435,0.7968,0.8684,0.8347,0.8948,0.8764,0.9289,0.8894,0.929,0.8894
24,0.3019,0.4048,0.8716,0.833,0.9427,0.9011,0.8522,0.8097,0.875,0.8391,0.8991,0.8706,0.9353,0.8827,0.9353,0.8828
25,0.2928,0.4088,0.8757,0.8296,0.9461,0.9003,0.8566,0.8058,0.8789,0.836,0.9025,0.8686,0.939,0.883,0.939,0.8831
26,0.2858,0.4029,0.8769,0.8335,0.9489,0.9051,0.8586,0.8289,0.8799,0.8347,0.9023,0.8405,0.9437,0.8816,0.9437,0.8817
27,0.2753,0.4202,0.8837,0.8327,0.9528,0.9072,0.8668,0.8036,0.8863,0.8404,0.9068,0.8808,0.9471,0.8862,0.9471,0.8863
28,0.2598,0.4211,0.8917,0.8315,0.9581,0.9039,0.8741,0.8178,0.8942,0.8351,0.9151,0.8531,0.9529,0.8866,0.9529,0.8867
29,0.2463,0.4273,0.8978,0.8388,0.9621,0.9071,0.8806,0.8183,0.9,0.8439,0.9203,0.8711,0.9578,0.8871,0.9578,0.8871
30,0.2435,0.4066,0.899,0.8441,0.9633,0.9082,0.8831,0.8122,0.9011,0.8517,0.9197,0.8953,0.9597,0.8873,0.9597,0.8874
31,0.2376,0.4308,0.9028,0.8342,0.9647,0.9062,0.8884,0.8214,0.9045,0.8375,0.9213,0.8541,0.9608,0.8882,0.9608,0.8883
32,0.227,0.4443,0.9074,0.8419,0.9681,0.9097,0.8929,0.8179,0.909,0.8477,0.9257,0.8798,0.9654,0.8891,0.9654,0.8892
33,0.2157,0.4213,0.9115,0.849,0.9709,0.9157,0.8968,0.824,0.9131,0.8546,0.93,0.8875,0.9683,0.8993,0.9683,0.8993
34,0.2122,0.4248,0.9119,0.8531,0.972,0.9139,0.8984,0.8331,0.9133,0.8574,0.9287,0.8832,0.9697,0.8933,0.9697,0.8933
35,0.2009,0.4627,0.9173,0.8327,0.9749,0.9102,0.9048,0.7991,0.9185,0.8417,0.9327,0.889,0.973,0.8934,0.973,0.8934
36,0.1994,0.4406,0.9195,0.8456,0.9751,0.9107,0.906,0.8194,0.9208,0.8517,0.9362,0.8866,0.973,0.8837,0.973,0.8838
37,0.1853,0.4227,0.9249,0.8448,0.9789,0.9163,0.9119,0.8442,0.9261,0.845,0.9407,0.8459,0.9779,0.8982,0.9779,0.8982
38,0.1841,0.434,0.9263,0.8512,0.9789,0.9159,0.9157,0.8239,0.9273,0.8572,0.9391,0.8934,0.9771,0.8975,0.9771,0.8976
39,0.1825,0.4523,0.9272,0.8463,0.9794,0.9133,0.9169,0.8171,0.928,0.8531,0.9395,0.8924,0.9777,0.8921,0.9777,0.8922
40,0.18,0.4422,0.9272,0.8383,0.9801,0.9116,0.9157,0.8247,0.9282,0.8417,0.9411,0.8594,0.9791,0.8948,0.9791,0.8948
41,0.121,0.4754,0.9532,0.8582,0.991,0.9259,0.9456,0.8335,0.9536,0.8633,0.9618,0.8953,0.9906,0.9103,0.9906,0.9104
42,0.0935,0.4502,0.9661,0.8662,0.9948,0.9306,0.9606,0.849,0.9663,0.8694,0.9719,0.8909,0.9946,0.9126,0.9946,0.9126
43,0.0851,0.4646,0.9673,0.8674,0.9956,0.9304,0.9611,0.8436,0.9675,0.8719,0.974,0.9021,0.9956,0.9156,0.9956,0.9156
44,0.0803,0.477,0.9695,0.8684,0.9961,0.9291,0.9644,0.8525,0.9697,0.8713,0.9749,0.8909,0.996,0.9093,0.996,0.9093
45,0.0739,0.4908,0.9719,0.8701,0.9967,0.9306,0.9668,0.8563,0.9721,0.8726,0.9774,0.8895,0.9965,0.9109,0.9965,0.9109
46,0.0728,0.4967,0.9741,0.8703,0.9966,0.9293,0.9701,0.8511,0.9742,0.8738,0.9782,0.8977,0.9964,0.9123,0.9964,0.9124
47,0.0708,0.5218,0.9739,0.8679,0.9969,0.929,0.9689,0.8534,0.9741,0.8706,0.9792,0.8885,0.9968,0.9116,0.9968,0.9116
48,0.0673,0.5425,0.9748,0.8688,0.9973,0.9271,0.9714,0.8416,0.9748,0.8739,0.9783,0.9089,0.9972,0.9084,0.9972,0.9085
49,0.0661,0.5475,0.9757,0.8635,0.9973,0.9269,0.9718,0.8528,0.9758,0.8656,0.9798,0.8788,0.9972,0.9088,0.9972,0.9088
50,0.0653,0.574,0.9768,0.8618,0.9972,0.9297,0.9733,0.8612,0.9769,0.862,0.9806,0.8628,0.997,0.9134,0.997,0.9133
51,0.0664,0.5615,0.9767,0.863,0.9972,0.9282,0.9738,0.8386,0.9768,0.8678,0.9798,0.8992,0.9971,0.9124,0.9971,0.9125
52,0.0639,0.5647,0.9758,0.8628,0.9975,0.9267,0.9725,0.8549,0.9759,0.8643,0.9794,0.874,0.9975,0.9078,0.9975,0.9078
53,0.0631,0.5413,0.9773,0.8642,0.9974,0.929,0.9739,0.8468,0.9774,0.8676,0.9808,0.8895,0.9973,0.9109,0.9973,0.9108
54,0.0589,0.5821,0.9783,0.8655,0.9979,0.9259,0.975,0.844,0.9784,0.8696,0.9819,0.8968,0.9979,0.9078,0.9979,0.9077
55,0.0604,0.5666,0.978,0.8686,0.9977,0.9283,0.9755,0.8487,0.9781,0.8723,0.9807,0.8972,0.9976,0.9103,0.9976,0.9102
56,0.0557,0.5875,0.9795,0.8681,0.998,0.928,0.9769,0.8489,0.9795,0.8717,0.9822,0.8958,0.998,0.9124,0.998,0.9124
57,0.058,0.5959,0.9788,0.8582,0.9978,0.9272,0.9754,0.8605,0.9789,0.8578,0.9825,0.8551,0.9978,0.9096,0.9978,0.9095
58,0.0605,0.5661,0.978,0.8633,0.9976,0.929,0.9749,0.8557,0.9781,0.8647,0.9814,0.874,0.9975,0.9117,0.9975,0.9117
59,0.0587,0.6012,0.9791,0.8623,0.9978,0.9263,0.9764,0.8427,0.9792,0.8662,0.9819,0.8909,0.9977,0.9074,0.9977,0.9072
60,0.061,0.5564,0.9781,0.8701,0.9976,0.9289,0.9757,0.8504,0.9781,0.8736,0.9805,0.8982,0.9975,0.9104,0.9975,0.9104
61,0.057,0.5672,0.9791,0.8582,0.9979,0.9256,0.9763,0.8444,0.9791,0.861,0.982,0.8783,0.9978,0.9111,0.9978,0.9111
62,0.0579,0.5339,0.9781,0.8655,0.9979,0.9304,0.9754,0.8573,0.9781,0.867,0.9809,0.8769,0.9978,0.9125,0.9978,0.9125
63,0.0525,0.6207,0.9809,0.8669,0.9982,0.9303,0.9784,0.8612,0.981,0.868,0.9835,0.8749,0.9982,0.9153,0.9982,0.9149
64,0.0575,0.5944,0.9796,0.8628,0.9978,0.9288,0.9773,0.846,0.9796,0.8661,0.982,0.8871,0.9978,0.9111,0.9978,0.9108
65,0.0531,0.6177,0.9812,0.8669,0.9981,0.9282,0.9792,0.8476,0.9813,0.8705,0.9834,0.8948,0.998,0.9091,0.998,0.9086
66,0.0503,0.5874,0.9825,0.8727,0.9984,0.9311,0.9805,0.8614,0.9825,0.8747,0.9846,0.8885,0.9984,0.9146,0.9984,0.9146
67,0.0507,0.6238,0.9823,0.8657,0.9983,0.9318,0.9806,0.8482,0.9823,0.869,0.984,0.8909,0.9983,0.9202,0.9983,0.9201
68,0.0527,0.5983,0.9812,0.8703,0.9982,0.9316,0.9788,0.846,0.9812,0.8747,0.9836,0.9055,0.9982,0.9173,0.9982,0.9171
69,0.0512,0.6414,0.9809,0.8698,0.9983,0.9316,0.9798,0.8452,0.9809,0.8743,0.9821,0.9055,0.9983,0.9162,0.9983,0.9156
70,0.0478,0.5875,0.983,0.8681,0.9985,0.9313,0.9803,0.8571,0.983,0.8702,0.9858,0.8837,0.9984,0.9158,0.9984,0.9158
71,0.0446,0.6319,0.9844,0.8737,0.9987,0.9332,0.9836,0.8627,0.9844,0.8756,0.9852,0.889,0.9987,0.9217,0.9987,0.9216
72,0.0421,0.6574,0.9859,0.8616,0.9988,0.9282,0.9847,0.8444,0.9859,0.865,0.9871,0.8866,0.9988,0.914,0.9988,0.9137
73,0.0495,0.6046,0.982,0.8645,0.9984,0.9309,0.9796,0.8511,0.9821,0.8671,0.9846,0.8837,0.9983,0.9163,0.9983,0.916
74,0.0477,0.6507,0.9829,0.8645,0.9985,0.9314,0.9811,0.8581,0.9829,0.8657,0.9848,0.8735,0.9986,0.9158,0.9986,0.9157
