Epoch,Train Loss,Val Loss,Train Accuracy,Val Accuracy,Train AUC ROC,Val AUC ROC,Train PR,Val PR,Train F1,Val F1,Train Recall,Val Recall,Train Int AP,Val Int AP,Train AP,Val AP
1,0.7575,0.7288,0.5439,0.5001,0.5561,0.6073,0.543,0.5098,0.5485,0.0113,0.5542,0.0057,0.5378,0.5878,0.5378,0.5881
2,0.675,0.6724,0.5738,0.587,0.6057,0.6505,0.5715,0.5551,0.5804,0.68,0.5895,0.8777,0.5888,0.6266,0.5889,0.6269
3,0.6545,0.6784,0.6097,0.5853,0.6538,0.6775,0.6018,0.5509,0.6243,0.6902,0.6486,0.924,0.6304,0.6454,0.6305,0.6456
4,0.6288,0.6237,0.644,0.6524,0.6989,0.7296,0.6308,0.6083,0.6612,0.7113,0.6946,0.8563,0.672,0.7016,0.6721,0.7017
5,0.5959,0.5845,0.6799,0.6854,0.7437,0.7644,0.6619,0.6431,0.6967,0.726,0.7354,0.8334,0.7132,0.7348,0.7132,0.7349
6,0.5624,0.5413,0.7125,0.7333,0.7808,0.8045,0.692,0.6912,0.7272,0.7597,0.7661,0.8433,0.7492,0.7712,0.7493,0.7713
7,0.5433,0.5229,0.7271,0.7428,0.7988,0.8159,0.7052,0.722,0.7409,0.7543,0.7804,0.7895,0.7663,0.7907,0.7663,0.7907
8,0.5178,0.5143,0.7471,0.7439,0.8196,0.8277,0.7231,0.7003,0.76,0.769,0.8009,0.8528,0.7865,0.7966,0.7865,0.7967
9,0.4995,0.4989,0.7585,0.7612,0.8335,0.8336,0.7328,0.7396,0.7712,0.7715,0.8138,0.8063,0.8022,0.8004,0.8022,0.8005
10,0.4901,0.4997,0.7649,0.7663,0.8403,0.8436,0.7391,0.7834,0.7769,0.7591,0.8188,0.7364,0.8103,0.8118,0.8104,0.8119
11,0.4785,0.4862,0.7739,0.7677,0.8488,0.8484,0.7487,0.7168,0.7848,0.7921,0.8246,0.8849,0.8177,0.8155,0.8177,0.8156
12,0.4727,0.4816,0.7787,0.7711,0.8524,0.8512,0.7516,0.7281,0.79,0.7908,0.8325,0.8653,0.8217,0.8167,0.8217,0.8168
13,0.4615,0.4768,0.7819,0.7741,0.8592,0.8544,0.755,0.7792,0.7928,0.772,0.8346,0.7648,0.8301,0.8249,0.8301,0.8249
14,0.4576,0.473,0.7837,0.7712,0.8619,0.8555,0.7565,0.7198,0.7946,0.7952,0.8368,0.8883,0.8319,0.8252,0.8319,0.8253
15,0.4561,0.4618,0.7869,0.779,0.8631,0.8577,0.7592,0.7492,0.7977,0.7915,0.8404,0.8389,0.8327,0.8211,0.8328,0.8212
16,0.4452,0.4878,0.7939,0.7699,0.869,0.8652,0.7651,0.8155,0.8045,0.752,0.8482,0.6976,0.8392,0.8352,0.8392,0.8353
17,0.4431,0.4444,0.7934,0.798,0.8708,0.8701,0.7654,0.7613,0.8038,0.8112,0.8463,0.8682,0.8423,0.8366,0.8423,0.8367
18,0.4376,0.4661,0.7981,0.7803,0.8736,0.8609,0.7691,0.7279,0.8084,0.803,0.8519,0.8955,0.8446,0.8291,0.8446,0.8292
19,0.4365,0.4405,0.8001,0.8002,0.8744,0.8718,0.77,0.7752,0.8107,0.8089,0.856,0.8457,0.8445,0.8393,0.8445,0.8393
20,0.4305,0.4457,0.8028,0.791,0.8782,0.8709,0.7735,0.7802,0.8128,0.795,0.8562,0.8104,0.8509,0.8435,0.8509,0.8436
21,0.4304,0.4358,0.8024,0.7994,0.8778,0.8724,0.7727,0.7678,0.8127,0.8106,0.8569,0.8585,0.8502,0.8411,0.8502,0.8412
22,0.424,0.4361,0.8048,0.8005,0.8818,0.8736,0.7756,0.7662,0.8146,0.8126,0.8576,0.8651,0.8551,0.8422,0.8551,0.8423
23,0.4192,0.439,0.808,0.7942,0.8845,0.8713,0.7781,0.763,0.8178,0.8058,0.8617,0.8536,0.8577,0.84,0.8578,0.8401
24,0.4152,0.4462,0.8105,0.8004,0.8866,0.8724,0.78,0.7899,0.8203,0.804,0.8651,0.8186,0.8607,0.8364,0.8607,0.8365
25,0.4154,0.4359,0.8098,0.7979,0.887,0.875,0.7797,0.7836,0.8196,0.8028,0.8638,0.823,0.8609,0.8452,0.8609,0.8453
26,0.4095,0.4455,0.8135,0.7905,0.89,0.8751,0.7837,0.7949,0.8228,0.7889,0.8659,0.7831,0.8659,0.8443,0.8659,0.8444
27,0.4074,0.427,0.8134,0.8069,0.8911,0.8812,0.7835,0.7873,0.8228,0.8133,0.8662,0.8411,0.867,0.8499,0.867,0.85
28,0.405,0.4256,0.8171,0.8062,0.8923,0.8811,0.7862,0.7737,0.8265,0.8171,0.871,0.8658,0.8687,0.8519,0.8687,0.852
29,0.402,0.4361,0.8173,0.8032,0.8938,0.8761,0.7865,0.7825,0.8267,0.8101,0.8712,0.8398,0.8722,0.8434,0.8722,0.8434
30,0.3986,0.4294,0.819,0.8065,0.8963,0.877,0.789,0.7761,0.828,0.8166,0.871,0.8616,0.8752,0.8406,0.8752,0.8408
31,0.3956,0.4358,0.8217,0.8013,0.898,0.8761,0.7916,0.7782,0.8304,0.8092,0.8732,0.8428,0.8777,0.8403,0.8777,0.8403
32,0.3938,0.4405,0.8232,0.8005,0.8991,0.8746,0.7929,0.7659,0.8319,0.8127,0.8751,0.8655,0.8773,0.8404,0.8773,0.8405
33,0.3944,0.4231,0.8223,0.8097,0.8991,0.8817,0.7928,0.7859,0.8308,0.8173,0.8727,0.8512,0.8765,0.8481,0.8766,0.8482
34,0.3848,0.4319,0.8277,0.8038,0.9036,0.8793,0.7975,0.776,0.836,0.8133,0.8783,0.8543,0.8837,0.8464,0.8837,0.8464
35,0.3852,0.4221,0.8272,0.8047,0.9036,0.8836,0.7976,0.7791,0.8354,0.8133,0.8771,0.8506,0.8848,0.8536,0.8848,0.8536
36,0.3795,0.4309,0.8314,0.8061,0.9067,0.8805,0.8015,0.7923,0.8394,0.8106,0.8812,0.8298,0.8864,0.8496,0.8864,0.8496
37,0.3803,0.4296,0.8295,0.8071,0.9062,0.8787,0.8009,0.7841,0.8373,0.8147,0.8771,0.8477,0.8881,0.8464,0.8881,0.8465
38,0.3822,0.4209,0.8283,0.8065,0.905,0.8835,0.7993,0.7697,0.8363,0.8188,0.8768,0.8746,0.8852,0.8549,0.8852,0.8549
39,0.3746,0.4281,0.8323,0.8073,0.9094,0.8811,0.8028,0.7672,0.8401,0.8208,0.8811,0.8825,0.8918,0.8474,0.8918,0.8475
40,0.3737,0.4299,0.8341,0.8124,0.9101,0.882,0.8049,0.784,0.8417,0.8214,0.8819,0.8625,0.8926,0.8475,0.8926,0.8476
41,0.3356,0.4147,0.8537,0.821,0.9274,0.8924,0.8245,0.7975,0.86,0.8278,0.8986,0.8605,0.913,0.8591,0.913,0.8592
42,0.3203,0.4147,0.8612,0.8203,0.9339,0.8928,0.8334,0.7942,0.8668,0.828,0.9029,0.8649,0.9213,0.8592,0.9213,0.8593
43,0.3102,0.4106,0.8656,0.8214,0.9379,0.8945,0.8367,0.7973,0.8711,0.8284,0.9085,0.862,0.9262,0.8611,0.9262,0.8612
44,0.3092,0.4088,0.8661,0.8254,0.9386,0.8942,0.8379,0.7955,0.8714,0.8339,0.9078,0.8761,0.9267,0.8601,0.9267,0.8602
45,0.3012,0.4137,0.8704,0.8251,0.9419,0.8958,0.8434,0.8037,0.8753,0.831,0.9096,0.8603,0.9317,0.8639,0.9317,0.864
46,0.2934,0.42,0.8747,0.8218,0.9451,0.8934,0.8477,0.7839,0.8793,0.8329,0.9134,0.8885,0.9358,0.8592,0.9358,0.8592
47,0.2899,0.4215,0.8761,0.8249,0.9462,0.8952,0.8497,0.8056,0.8806,0.8303,0.9138,0.8565,0.9369,0.8634,0.9369,0.8634
48,0.2853,0.4448,0.878,0.8169,0.9483,0.895,0.8523,0.8231,0.8823,0.8152,0.9144,0.8074,0.9401,0.8636,0.9401,0.8636
49,0.2807,0.4296,0.8812,0.8219,0.95,0.8939,0.8567,0.8027,0.8851,0.8274,0.9154,0.8536,0.9418,0.8594,0.9418,0.8595
50,0.2835,0.433,0.8795,0.8245,0.9489,0.8956,0.8552,0.8068,0.8835,0.8295,0.9138,0.8534,0.9413,0.8607,0.9413,0.8607
