Drug1_ID,Drug2_ID,Y,Neg samples
DB12001,DB01118,1,DB09262$h
DB12001,DB11901,3,DB00245$t
DB12001,DB00673,2,DB04861$t
DB12001,DB00289,0,DB12161$t
DB12001,DB00188,0,DB01355$t
DB12001,DB00559,3,DB00332$h
DB12001,DB06616,2,DB00528$t
DB12001,DB00564,3,DB01219$t
DB12001,DB09063,1,DB01218$t
DB12001,DB01211,1,DB00439$t
DB12001,DB00283,0,DB01431$t
DB12001,DB00257,0,DB13952$t
DB12001,DB01394,2,DB01005$t
DB12001,DB00872,2,DB09235$h
DB12001,DB08865,0,DB08882$h
DB12001,DB00091,0,DB01193$h
DB12001,DB06695,12,DB00589$t
DB12001,DB08912,3,DB03756$t
DB12001,DB01254,2,DB01067$t
DB12001,DB00320,0,DB04861$h
DB12001,DB00343,0,DB01212$t
DB12001,DB00997,2,DB00622$h
DB12001,DB00254,0,DB00332$h
DB12001,DB04855,0,DB00445$h
DB12001,DB06210,2,DB09235$h
DB12001,DB08899,3,DB00622$h
DB12001,DB00199,0,DB00763$h
DB12001,DB01590,2,DB00972$t
DB12001,DB00176,0,DB01065$h
DB12001,DB01320,3,DB00993$t
DB12001,DB00619,0,DB00594$h
DB12001,DB11633,2,DB00876$t
DB12001,DB00270,0,DB00281$h
DB12001,DB01167,1,DB05676$t
DB12001,DB08820,2,DB00395$h
DB12001,DB01026,2,DB00358$t
DB12001,DB09195,2,DB01559$t
DB12001,DB00227,0,DB01380$h
DB12001,DB09280,3,DB00804$h
DB12001,DB06595,3,DB00805$t
DB12001,DB00834,2,DB00719$t
DB12001,DB00648,3,DB00988$t
DB12001,DB09049,2,DB00947$h
DB12001,DB01149,1,DB00978$h
DB12001,DB09048,2,DB00568$t
DB05812,DB06736,0,DB01110$t
DB05812,DB01418,2,DB01156$h
DB05812,DB00316,2,DB00523$t
DB05812,DB03128,2,DB13952$h
DB05812,DB00945,2,DB01191$h
DB05812,DB00546,0,DB00688$t
DB05812,DB06594,2,DB12010$h
DB05812,DB01426,2,DB00366$h
DB05812,DB00518,2,DB00461$h
DB05812,DB00918,2,DB00472$h
DB05812,DB06203,2,DB09282$t
DB05812,DB00969,2,DB00283$h
DB05812,DB00866,2,DB08899$h
DB05812,DB06403,0,DB01151$h
DB05812,DB01223,2,DB00195$h
DB05812,DB01118,2,DB00758$t
DB05812,DB00321,2,DB00290$t
DB05812,DB00613,2,DB01611$t
DB05812,DB00543,2,DB00772$h
DB05812,DB00182,2,DB08899$h
DB05812,DB00276,2,DB01355$h
DB05812,DB00261,2,DB04845$t
DB05812,DB01435,2,DB01067$t
DB05812,DB11901,3,DB01006$h
DB05812,DB06605,2,DB11691$t
DB05812,DB00673,2,DB00588$t
DB05812,DB01429,2,DB00758$t
DB05812,DB01274,2,DB00542$t
DB05812,DB01238,2,DB00745$t
DB05812,DB06216,2,DB00861$t
DB05812,DB00637,2,DB00467$h
DB05812,DB00289,2,DB00436$t
DB05812,DB01076,2,DB11828$h
DB05812,DB06626,2,DB00619$h
DB05812,DB00972,2,DB06595$t
DB05812,DB00245,2,DB13954$h
DB05812,DB01244,2,DB12267$h
DB05812,DB00195,2,DB00455$h
DB05812,DB00307,0,DB00773$h
DB05812,DB00612,2,DB00563$t
DB05812,DB00188,2,DB00754$h
DB05812,DB00559,2,DB01583$h
DB05812,DB09128,2,DB06695$t
DB05812,DB12267,2,DB01119$h
DB05812,DB05541,0,DB01213$t
DB05812,DB01558,2,DB13874$h
DB05812,DB00835,2,DB00482$h
DB05812,DB00297,2,DB01245$t
DB05812,DB00921,2,DB00690$t
DB05812,DB01156,2,DB01245$h
DB05812,DB00490,2,DB00628$t
DB05812,DB06772,2,DB13956$h
DB05812,DB08875,0,DB09123$h
DB05812,DB00201,2,DB00471$h
DB05812,DB00796,0,DB01240$h
DB05812,DB09061,0,DB01611$t
DB05812,DB01197,2,DB00690$t
DB05812,DB00564,3,DB00521$h
DB05812,DB00748,2,DB00993$h
DB05812,DB06016,2,DB00979$h
DB05812,DB00395,0,DB08897$h
DB05812,DB00262,2,DB06263$h
DB05812,DB00521,2,DB01029$h
DB05812,DB01136,2,DB06292$h
DB05812,DB00482,0,DB13956$h
DB05812,DB09063,2,DB00257$t
DB05812,DB00439,2,DB08882$h
DB05812,DB00185,2,DB01351$t
DB05812,DB00446,0,DB01628$h
DB05812,DB00608,2,DB00254$t
DB05812,DB01114,2,DB00179$t
DB05812,DB00477,2,DB09049$t
DB05812,DB00672,0,DB00390$t
DB05812,DB00356,2,DB08804$t
DB05812,DB01166,2,DB00996$t
DB05812,DB01012,2,DB09235$t
DB05812,DB00568,2,DB00949$t
DB05812,DB00604,2,DB00822$h
DB05812,DB00215,2,DB01466$h
DB05812,DB01211,0,DB00537$h
DB05812,DB00283,0,DB00688$t
DB05812,DB01407,2,DB00182$h
DB05812,DB04920,2,DB08804$h
DB05812,DB01242,2,DB00035$h
DB05812,DB00575,2,DB00248$t
DB05812,DB00758,38,DB08897$t
DB05812,DB01559,0,DB00499$h
DB05812,DB00257,0,DB01238$h
DB05812,DB00363,2,DB13953$h
DB05812,DB00318,2,DB01026$t
DB05812,DB00872,2,DB00783$h
DB05812,DB08865,0,DB06616$t
DB05812,DB00924,2,DB00883$t
DB05812,DB00531,2,DB01217$t
DB05812,DB00091,0,DB08815$h
DB05812,DB08912,3,DB00394$t
DB05812,DB00851,2,DB09285$t
DB05812,DB06292,2,DB00764$t
DB05812,DB00496,2,DB00414$t
DB05812,DB01254,2,DB01408$h
DB05812,DB00694,2,DB06595$h
DB05812,DB04840,2,DB00845$h
DB05812,DB01151,2,DB01200$h
DB05812,DB12161,2,DB00437$h
DB05812,DB09555,2,DB06230$t
DB05812,DB01191,2,DB00749$h
DB05812,DB05351,0,DB00528$t
DB05812,DB06701,2,DB01212$t
DB05812,DB01576,2,DB00591$h
DB05812,DB00514,2,DB09214$h
DB05812,DB00829,2,DB00700$t
DB05812,DB00586,2,DB00491$t
DB05812,DB00266,0,DB00783$t
DB05812,DB01396,18,DB01244$h
DB05812,DB00390,18,DB06777$t
DB05812,DB00320,0,DB00370$h
DB05812,DB00343,2,DB00458$h
DB05812,DB00917,2,DB00035$t
DB05812,DB01075,2,DB01406$t
DB05812,DB01248,1,DB00677$h
DB05812,DB03756,0,DB01612$t
DB05812,DB00757,2,DB05676$t
DB05812,DB01184,2,DB00501$h
DB05812,DB00843,2,DB00572$t
DB05812,DB00988,2,DB01248$t
DB05812,DB00869,0,DB12001$h
DB05812,DB00590,2,DB11560$t
DB05812,DB01142,2,DB08907$h
DB05812,DB00997,2,DB08875$t
DB05812,DB00254,0,DB00400$t
DB05812,DB00470,2,DB09212$t
DB05812,DB04855,2,DB00186$h
DB05812,DB00476,2,DB01016$t
DB05812,DB00216,2,DB00294$h
DB05812,DB09039,2,DB00990$h
DB05812,DB06210,2,DB08899$h
DB05812,DB13874,2,DB00711$t
DB05812,DB01228,2,DB00307$t
DB05812,DB08899,3,DB06730$h
DB05812,DB00751,2,DB01248$h
DB05812,DB01240,0,DB00903$h
DB05812,DB00696,2,DB00835$h
DB05812,DB00530,2,DB00683$t
DB05812,DB00199,0,DB09229$t
DB05812,DB01175,2,DB01161$h
DB05812,DB00736,0,DB01095$h
DB05812,DB00783,2,DB01026$t
DB05812,DB13952,2,DB00822$t
DB05812,DB13953,2,DB06700$t
DB05812,DB13954,2,DB00690$h
DB05812,DB13955,2,DB00719$h
DB05812,DB13956,2,DB09116$t
DB05812,DB00655,2,DB11901$h
DB05812,DB04574,2,DB00808$t
DB05812,DB00402,2,DB09235$t
DB05812,DB00898,2,DB00907$t
DB05812,DB01466,2,DB01213$h
DB05812,DB09166,0,DB01218$h
DB05812,DB00749,0,DB00996$t
DB05812,DB00773,2,DB00808$h
DB05812,DB01628,2,DB00882$t
DB05812,DB00927,0,DB00933$h
DB05812,DB06702,2,DB06594$h
DB05812,DB08868,2,DB12161$h
DB05812,DB01195,2,DB09235$t
DB05812,DB04841,2,DB13074$t
DB05812,DB01544,2,DB04908$t
DB05812,DB00544,2,DB01128$t
DB05812,DB00472,2,DB08827$t
DB05812,DB00623,2,DB00762$h
DB05812,DB00712,0,DB01241$t
DB05812,DB00499,2,DB01211$h
DB05812,DB01095,2,DB01200$t
DB05812,DB00176,2,DB00928$h
DB05812,DB00983,2,DB00636$t
DB05812,DB01320,3,DB00186$t
DB05812,DB00998,2,DB04817$t
DB05812,DB00674,2,DB00694$h
DB05812,DB00317,2,DB00637$h
DB05812,DB01120,0,DB06263$t
DB05812,DB00222,0,DB00461$h
DB05812,DB01067,0,DB01216$t
DB05812,DB01296,0,DB00591$t
DB05812,DB01016,0,DB00887$h
DB05812,DB00889,2,DB01119$t
DB05812,DB00629,2,DB06700$t
DB05812,DB01018,0,DB04845$t
DB05812,DB01218,2,DB09123$t
DB05812,DB00502,2,DB00320$t
DB05812,DB01159,2,DB00865$h
DB05812,DB01094,2,DB04839$h
DB05812,DB01355,2,DB00849$t
DB05812,DB05381,0,DB06292$t
DB05812,DB00956,2,DB00918$h
DB05812,DB00327,2,DB00808$t
DB05812,DB09053,2,DB00115$t
DB05812,DB01050,2,DB00169$t
DB05812,DB11737,2,DB00278$h
DB05812,DB01177,2,DB04846$t
DB05812,DB01181,2,DB00150$h
DB05812,DB04946,2,DB00741$t
DB05812,DB00619,2,DB00169$h
DB05812,DB00458,2,DB01431$t
DB05812,DB00724,2,DB01407$h
DB05812,DB00328,0,DB00956$t
DB05812,DB00332,2,DB06701$h
DB05812,DB01029,2,DB00233$t
DB05812,DB11633,2,DB09167$t
DB05812,DB00270,0,DB00889$t
DB05812,DB01167,0,DB00796$h
DB05812,DB08820,2,DB00847$h
DB05812,DB01221,2,DB00150$t
DB05812,DB06738,2,DB00367$h
DB05812,DB01026,0,DB08899$h
DB05812,DB01009,0,DB00990$t
DB05812,DB00598,2,DB00998$h
DB05812,DB00448,2,DB00443$t
DB05812,DB01259,2,DB00169$t
DB05812,DB01097,2,DB00227$t
DB05812,DB11560,0,DB00758$t
DB05812,DB01002,2,DB00647$h
DB05812,DB01235,2,DB11828$t
DB05812,DB08918,2,DB06772$h
DB05812,DB00281,2,DB00257$h
DB05812,DB00589,2,DB00754$t
DB05812,DB00978,2,DB00865$h
DB05812,DB01206,2,DB00593$t
DB05812,DB00836,2,DB01170$h
DB05812,DB00455,2,DB00763$t
DB05812,DB04871,2,DB00222$t
DB05812,DB06725,0,DB06774$h
DB05812,DB09195,2,DB00486$h
DB05812,DB00678,2,DB05219$t
DB05812,DB00227,0,DB01176$h
DB05812,DB09280,3,DB01228$h
DB05812,DB01283,2,DB08932$t
DB05812,DB08932,0,DB09128$t
DB05812,DB00772,2,DB06616$h
DB05812,DB00934,2,DB00928$h
DB05812,DB00784,2,DB01400$t
DB05812,DB01065,2,DB09198$h
DB05812,DB00814,2,DB00153$t
DB05812,DB00170,2,DB00950$t
DB05812,DB00371,0,DB00324$h
DB05812,DB01071,2,DB00514$h
DB05812,DB00933,2,DB04794$h
DB05812,DB01357,0,DB06282$h
DB05812,DB00333,2,DB00158$t
DB05812,DB01577,2,DB01144$t
DB05812,DB01403,2,DB00805$h
DB05812,DB01028,2,DB00211$t
DB05812,DB05246,0,DB01233$t
DB05812,DB00422,2,DB01137$h
DB05812,DB00849,0,DB00683$t
DB05812,DB01107,2,DB01023$h
DB05812,DB01233,2,DB12010$h
DB05812,DB00264,2,DB09031$h
DB05812,DB00916,0,DB01175$t
DB05812,DB00379,2,DB01437$t
DB05812,DB06148,2,DB01217$h
DB05812,DB00834,2,DB01117$t
DB05812,DB00805,2,DB00441$t
DB05812,DB08893,2,DB06730$h
DB05812,DB00370,2,DB00180$t
DB05812,DB00648,3,DB00439$t
DB05812,DB01171,2,DB01410$t
DB05812,DB00471,0,DB13874$t
DB05812,DB00295,2,DB00307$t
DB05812,DB00688,2,DB00640$h
DB05812,DB14011,0,DB00947$h
DB05812,DB00461,2,DB01246$t
DB05812,DB01183,2,DB01101$t
DB05812,DB00788,2,DB01400$h
DB05812,DB00731,2,DB00158$t
DB05812,DB04861,2,DB05541$h
DB05812,DB01149,2,DB00643$h
DB05812,DB09048,2,DB01612$t
DB05812,DB00622,2,DB01213$h
DB01193,DB06736,9,DB01076$t
DB01193,DB13783,4,DB00921$t
DB01193,DB00414,10,DB08893$h
DB01193,DB03128,1,DB01380$t
DB01193,DB00945,9,DB00987$t
DB01193,DB00802,13,DB01221$h
DB01193,DB00346,7,DB01014$t
DB01193,DB01246,7,DB12267$h
DB01193,DB09026,7,DB01064$h
DB01193,DB00866,7,DB00979$h
DB01193,DB01122,13,DB01259$h
DB01193,DB06403,7,DB04841$t
DB01193,DB01143,7,DB06702$h
DB01193,DB00594,1,DB00245$h
DB01193,DB01223,29,DB09224$h
DB01193,DB01118,15,DB00542$h
DB01193,DB00381,7,DB01280$h
DB01193,DB01351,3,DB08865$h
DB01193,DB00613,0,DB01246$t
DB01193,DB00182,1,DB00575$t
DB01193,DB01612,1,DB00997$h
DB01193,DB01435,9,DB01023$h
DB01193,DB11901,3,DB00555$h
DB01193,DB00714,20,DB06695$h
DB01193,DB05676,9,DB00188$h
DB01193,DB01274,29,DB00598$h
DB01193,DB01238,7,DB00983$h
DB01193,DB01169,1,DB00176$t
DB01193,DB00289,32,DB00987$t
DB01193,DB06237,25,DB00446$h
DB01193,DB00972,9,DB00317$t
DB01193,DB01014,9,DB01043$h
DB01193,DB01408,29,DB01280$h
DB01193,DB00542,7,DB08827$h
DB01193,DB00436,7,DB00158$h
DB01193,DB00865,20,DB11638$h
DB01193,DB01244,7,DB00959$h
DB01193,DB00195,7,DB00648$h
DB01193,DB00612,7,DB01241$h
DB01193,DB00188,1,DB00704$h
DB01193,DB00559,7,DB06262$t
DB01193,DB00484,25,DB00959$t
DB01193,DB00963,9,DB01012$t
DB01193,DB01200,20,DB08906$t
DB01193,DB00887,1,DB00819$h
DB01193,DB00297,2,DB00136$t
DB01193,DB00248,33,DB03756$t
DB01193,DB08907,1,DB00836$t
DB01193,DB00796,7,DB09053$h
DB01193,DB01197,7,DB00257$t
DB01193,DB00411,1,DB06594$h
DB01193,DB00521,7,DB01242$t
DB01193,DB01136,17,DB01431$t
DB01193,DB00482,9,DB00655$t
DB01193,DB04846,1,DB09195$t
DB01193,DB09063,13,DB00564$h
DB01193,DB00185,1,DB00763$t
DB01193,DB00608,0,DB00006$h
DB01193,DB00477,7,DB01583$h
DB01193,DB00672,10,DB08865$h
DB01193,DB09232,1,DB00389$t
DB01193,DB01407,1,DB00179$h
DB01193,DB04920,1,DB00357$h
DB01193,DB00631,1,DB00810$t
DB01193,DB01242,1,DB04871$h
DB01193,DB00575,20,DB01018$h
DB01193,DB00363,1,DB02300$t
DB01193,DB00872,1,DB06403$h
DB01193,DB08865,13,DB00276$t
DB01193,DB06292,1,DB00122$t
DB01193,DB04840,7,DB00182$t
DB01193,DB01245,13,DB00603$t
DB01193,DB06700,2,DB00967$h
DB01193,DB00633,20,DB00843$h
DB01193,DB01119,7,DB01095$h
DB01193,DB00586,9,DB08897$t
DB01193,DB01144,1,DB06738$h
DB01193,DB00861,9,DB00622$h
DB01193,DB01396,13,DB00490$t
DB01193,DB00390,13,DB06292$h
DB01193,DB00320,20,DB01101$h
DB01193,DB00343,7,DB01195$t
DB01193,DB00280,13,DB01410$h
DB01193,DB00841,1,DB00472$t
DB01193,DB00843,13,DB00918$t
DB01193,DB00988,1,DB00741$t
DB01193,DB00869,7,DB00357$t
DB01193,DB00590,17,DB11181$t
DB01193,DB00470,22,DB00166$h
DB01193,DB04855,13,DB00216$h
DB01193,DB06262,20,DB13955$h
DB01193,DB00476,17,DB01253$t
DB01193,DB09235,7,DB00575$t
DB01193,DB00584,7,DB11691$t
DB01193,DB01364,1,DB00392$h
DB01193,DB00668,20,DB00847$h
DB01193,DB00700,1,DB00201$t
DB01193,DB01240,7,DB00292$h
DB01193,DB00876,7,DB13954$t
DB01193,DB01253,33,DB01327$h
DB01193,DB00696,20,DB00882$h
DB01193,DB00903,1,DB00784$t
DB01193,DB00749,9,DB00491$h
DB01193,DB00292,20,DB00898$h
DB01193,DB01628,9,DB11560$h
DB01193,DB01023,7,DB06595$h
DB01193,DB00813,13,DB00712$h
DB01193,DB06702,12,DB06702$h
DB01193,DB08868,13,DB00261$h
DB01193,DB00472,2,DB00390$t
DB01193,DB00623,7,DB00719$h
DB01193,DB00712,9,DB13874$t
DB01193,DB00983,29,DB01429$h
DB01193,DB00695,1,DB01234$t
DB01193,DB00674,13,DB01068$t
DB01193,DB01120,10,DB00575$h
DB01193,DB00222,10,DB00629$h
DB01193,DB01067,10,DB01167$h
DB01193,DB01016,10,DB06710$t
DB01193,DB00629,20,DB01215$t
DB01193,DB01170,7,DB04817$h
DB01193,DB01018,20,DB04946$h
DB01193,DB01159,1,DB06637$h
