Drug1_ID,Drug2_ID,Y,Neg samples
DB00281,DB00678,0,DB09039$t
DB00257,DB04574,0,DB00947$h
DB04855,DB00451,0,DB00470$h
DB00343,DB00731,0,DB00916$h
DB05812,DB00199,0,DB09229$t
DB08865,DB00990,0,DB01218$t
DB00245,DB00482,0,DB01183$t
DB00363,DB00091,0,DB01050$h
DB01175,DB00951,0,DB00542$h
DB00262,DB00257,0,DB06695$t
DB00477,DB00317,0,DB00180$h
DB00446,DB01050,0,DB09166$h
DB00604,DB01171,0,DB01016$t
DB01156,DB09198,0,DB00720$t
DB00201,DB04920,0,DB01227$h
DB00207,DB00343,0,DB00233$t
DB00215,DB00629,0,DB00280$h
DB01259,DB00836,0,DB09262$t
DB06605,DB09167,0,DB00264$h
DB00501,DB00927,0,DB09026$h
DB01242,DB01026,0,DB01200$t
DB01094,DB00281,0,DB00179$t
DB00254,DB09262,0,DB12483$t
DB00490,DB00907,0,DB01191$h
DB04846,DB00283,0,DB01206$t
DB01118,DB00367,0,DB00211$h
DB00289,DB01558,0,DB06700$h
DB09167,DB01544,0,DB08875$h
DB01435,DB00477,0,DB00537$t
DB09119,DB13953,0,DB00467$t
DB01012,DB00332,0,DB00769$t
DB00496,DB00589,0,DB01259$t
DB01211,DB00690,0,DB11181$h
DB00477,DB01191,0,DB01218$h
DB01259,DB00455,0,DB08827$t
DB01118,DB01197,0,DB11148$t
DB00185,DB09039,0,DB01583$t
DB00169,DB00619,0,DB09128$h
DB00343,DB00153,0,DB01275$h
DB00482,DB00295,0,DB00949$t
DB08865,DB04845,0,DB06616$t
DB00476,DB00281,0,DB09063$t
DB00091,DB00947,0,DB01408$h
DB00343,DB00990,0,DB00496$t
DB01296,DB09198,0,DB01403$h
DB00356,DB01211,0,DB00328$h
DB00637,DB00195,0,DB00672$h
DB00320,DB04835,0,DB00150$h
DB06626,DB09198,0,DB06230$h
DB00297,DB01211,0,DB00575$t
DB00748,DB00199,0,DB09198$h
DB00907,DB00216,0,DB09282$t
DB00176,DB09048,0,DB09224$t
DB00207,DB01191,0,DB01280$t
DB01177,DB06595,0,DB00963$h
DB00502,DB06595,0,DB00997$h
DB01118,DB00865,0,DB06730$t
DB00199,DB01002,0,DB01176$t
DB00969,DB08865,0,DB00604$t
DB00501,DB09555,0,DB00211$t
DB00945,DB01259,0,DB00201$t
DB00757,DB01097,0,DB01002$h
DB00207,DB00544,0,DB00593$h
DB00199,DB00281,0,DB09285$h
DB06403,DB00745,0,DB06730$t
DB00297,DB00907,0,DB00623$t
DB00254,DB00358,0,DB00242$t
DB00289,DB01227,0,DB08932$h
DB01114,DB00343,0,DB01437$t
DB01156,DB01228,0,DB00668$t
DB00865,DB00283,0,DB09214$h
DB00201,DB00907,0,DB01212$h
DB00188,DB00988,0,DB00182$t
DB00590,DB09039,0,DB00281$h
DB01151,DB00731,0,DB00035$t
DB00586,DB00227,0,DB00207$t
DB00802,DB00270,0,DB01050$h
DB06413,DB01296,0,DB06016$h
DB00283,DB06148,0,DB09338$t
DB00496,DB01026,0,DB01039$t
DB01431,DB00176,0,DB00978$h
DB01118,DB01466,0,DB04953$t
DB01558,DB00254,0,DB00736$h
DB00477,DB09053,0,DB04908$h
DB00736,DB08918,0,DB08820$h
DB00176,DB00978,0,DB01126$t
DB00297,DB00176,0,DB00150$h
DB00257,DB01151,0,DB00395$h
DB08865,DB01241,0,DB00623$t
DB00322,DB01181,0,DB01407$t
DB00773,DB01026,0,DB00332$t
DB12161,DB00176,0,DB00927$t
DB00482,DB01218,0,DB11737$t
DB00835,DB01012,0,DB01046$h
DB00343,DB13955,0,DB01068$t
DB00758,DB01181,0,DB00006$h
DB00736,DB00458,0,DB06700$h
DB09119,DB13952,0,DB00861$t
DB04855,DB00455,0,DB00353$t
DB00869,DB00199,0,DB01026$h
DB00544,DB01181,0,DB00628$t
DB00518,DB00379,0,DB01175$t
DB01221,DB00678,0,DB01408$h
DB00318,DB00320,0,DB00411$h
DB01156,DB00531,0,DB01418$t
DB00531,DB01151,0,DB09128$h
DB01151,DB00674,0,DB06616$t
DB00270,DB00471,0,DB01086$t
DB04841,DB01097,0,DB01275$h
DB01029,DB00788,0,DB06413$t
DB00514,DB01097,0,DB04908$t
DB00593,DB01167,0,DB00590$h
DB00619,DB05039,0,DB00593$h
DB01156,DB04840,0,DB00199$h
DB00751,DB08893,0,DB01076$h
DB00514,DB01023,0,DB00523$h
DB00472,DB00622,0,DB03128$t
DB09039,DB00281,0,DB00402$h
DB00972,DB00446,0,DB00356$h
DB01211,DB00531,0,DB00394$t
DB00257,DB01355,0,DB00968$t
DB08868,DB00502,0,DB04574$h
DB00307,DB00199,0,DB09280$h
DB00379,DB06595,0,DB00956$t
DB06725,DB00678,0,DB13074$h
DB00446,DB00499,0,DB01191$t
DB01242,DB00836,0,DB00748$t
DB00608,DB01576,0,DB11633$t
DB01026,DB01183,0,DB00673$t
DB13874,DB00322,0,DB01136$h
DB05351,DB00343,0,DB01126$h
DB01435,DB01026,0,DB01065$h
DB00496,DB00455,0,DB00968$h
DB12001,DB00254,0,DB00332$h
DB00477,DB01149,0,DB00472$t
DB00316,DB00544,0,DB00764$h
DB00564,DB00257,0,DB00091$t
DB00612,DB00482,0,DB11148$t
DB00283,DB01016,0,DB00802$t
DB00257,DB01219,0,DB11560$h
DB00289,DB00324,0,DB00574$h
DB00869,DB01241,0,DB01410$t
DB00655,DB01026,0,DB00714$h
DB08875,DB00343,0,DB01156$t
DB03128,DB00195,0,DB01064$h
DB00969,DB06595,0,DB01169$h
DB01156,DB00674,0,DB01395$t
DB00283,DB06701,0,DB01024$h
DB00866,DB00622,0,DB00228$h
DB12010,DB00619,0,DB00704$h
DB00575,DB04871,0,DB01408$t
DB00327,DB04871,0,DB00719$h
DB00477,DB00356,0,DB00637$h
DB06292,DB01029,0,DB06403$t
DB00257,DB00531,0,DB01128$t
DB09119,DB01016,0,DB00933$t
DB00898,DB00379,0,DB01437$h
DB00458,DB00589,0,DB00327$h
DB00458,DB00598,0,DB00613$t
DB09198,DB00849,0,DB00678$h
DB00655,DB00544,0,DB09198$h
DB13953,DB01259,0,DB06736$h
DB09061,DB00951,0,DB00996$t
DB00283,DB00363,0,DB01357$t
DB06292,DB01241,0,DB01395$h
DB00758,DB01559,0,DB01238$t
DB00207,DB01167,0,DB00736$t
DB01118,DB00169,0,DB00836$h
DB00546,DB00472,0,DB00270$h
DB00297,DB00446,0,DB00875$t
DB01050,DB06595,0,DB00883$t
DB00321,DB00091,0,DB06210$h
DB00199,DB00327,0,DB00390$t
DB01156,DB00216,0,DB00949$t
DB00297,DB00619,0,DB01126$t
DB01426,DB00496,0,DB00437$h
DB08907,DB00227,0,DB01183$t
DB00758,DB00997,0,DB06263$t
DB00283,DB01241,0,DB00608$t
DB00322,DB01171,0,DB00762$h
DB00283,DB01254,0,DB00804$t
DB13953,DB01095,0,DB06730$h
DB08906,DB00270,0,DB00987$t
DB00612,DB00363,0,DB01418$h
DB00889,DB06595,0,DB13952$t
DB01223,DB00270,0,DB00673$t
DB00546,DB00446,0,DB01217$t
DB09119,DB04871,0,DB00501$t
DB00518,DB09167,0,DB01235$h
DB00199,DB00379,0,DB00353$h
DB01101,DB09048,0,DB01013$h
DB09198,DB00978,0,DB01002$h
DB01576,DB04855,0,DB00242$h
DB01429,DB00477,0,DB06210$h
DB01211,DB01227,0,DB00967$t
DB00283,DB00499,0,DB01120$t
DB00446,DB13955,0,DB14011$h
DB09167,DB01028,0,DB12161$t
DB09119,DB01120,0,DB01118$t
DB00322,DB00328,0,DB00851$t
DB01197,DB00622,0,DB05812$h
DB00477,DB01075,0,DB04855$h
DB09223,DB01211,0,DB00363$h
DB08868,DB01403,0,DB00537$t
DB13953,DB00951,0,DB00967$h
DB01167,DB01028,0,DB01235$h
DB00199,DB00332,0,DB01252$h
DB01175,DB00619,0,DB00395$t
DB00188,DB00584,0,DB04953$t
DB00835,DB01167,0,DB04845$t
DB01410,DB00343,0,DB01039$h
DB00927,DB09198,0,DB00543$t
DB00907,DB08918,0,DB00813$t
DB01151,DB00455,0,DB00297$t
DB01012,DB01211,0,DB01254$t
DB00869,DB01026,0,DB00321$t
DB00647,DB04855,0,DB05381$h
DB06736,DB09198,0,DB01233$h
DB00257,DB00731,0,DB00436$t
DB00356,DB00283,0,DB09119$h
DB01211,DB00091,0,DB06216$t
DB00907,DB00619,0,DB00952$t
DB00969,DB00091,0,DB01296$h
DB11901,DB00257,0,DB09280$t
DB00921,DB05219,0,DB06148$t
DB00731,DB01149,0,DB00242$h
DB13955,DB00281,0,DB00704$t
DB00318,DB00619,0,DB00295$h
DB08865,DB01110,0,DB01590$t
DB01114,DB09039,0,DB00861$h
DB01012,DB01171,0,DB05812$t
DB00169,DB01235,0,DB00367$h
DB00918,DB00496,0,DB00993$t
DB00188,DB00180,0,DB00704$h
DB00195,DB00477,0,DB01128$h
DB00969,DB00622,0,DB01175$t
DB01118,DB01196,0,DB00963$t
DB00502,DB00455,0,DB08912$h
DB00257,DB06637,0,DB00186$t
DB00546,DB00619,0,DB01169$h
DB00446,DB01016,0,DB00392$h
DB06413,DB13956,0,DB00185$h
DB00835,DB01101,0,DB09232$t
DB01228,DB00264,0,DB00182$t
DB00363,DB09198,0,DB01076$t
DB00254,DB04855,0,DB00690$h
DB00472,DB00327,0,DB12161$h
DB00593,DB00951,0,DB01406$h
DB00988,DB00264,0,DB00731$t
DB09119,DB14011,0,DB00845$t
DB06772,DB01029,0,DB00737$h
DB00608,DB00327,0,DB00741$h
DB00254,DB00959,0,DB04908$t
DB00316,DB08893,0,DB01194$t
DB00757,DB01026,0,DB06230$t
DB00188,DB00934,0,DB09195$t
DB01211,DB00987,0,DB11817$t
DB00829,DB00254,0,DB11901$t
DB00199,DB00678,0,DB01590$h
DB00254,DB00949,0,DB00446$t
DB00289,DB00370,0,DB09285$t
DB01023,DB00270,0,DB05676$t
DB04871,DB01028,0,DB06695$t
DB00972,DB00257,0,DB00322$h
DB01095,DB00784,0,DB00486$t
DB00343,DB04835,0,DB11148$h
DB00281,DB08893,0,DB00643$h
DB00188,DB00333,0,DB00959$h
DB08865,DB01006,0,DB01212$t
DB00091,DB01466,0,DB11181$t
DB08865,DB01159,0,DB01122$t
DB00289,DB09078,0,DB01120$t
DB00207,DB00530,0,DB00215$t
DB00188,DB00490,0,DB08804$t
DB00320,DB01028,0,DB01213$t
DB00185,DB00472,0,DB03756$h
DB00584,DB01167,0,DB01018$t
DB00289,DB11828,0,DB01161$h
DB00501,DB01577,0,DB00411$t
DB00169,DB01355,0,DB11181$h
DB09167,DB00461,0,DB00248$t
DB01283,DB06595,0,DB00318$t
DB04846,DB01026,0,DB00389$t
DB08865,DB01183,0,DB00546$h
DB00544,DB00731,0,DB01143$t
DB00207,DB00270,0,DB09078$h
DB06016,DB00458,0,DB11901$h
DB01241,DB01283,0,DB00672$h
DB00356,DB08865,0,DB00353$t
DB05541,DB00215,0,DB00281$t
DB00921,DB01167,0,DB03128$t
DB00612,DB00188,0,DB00180$t
DB01156,DB01184,0,DB00987$t
DB01156,DB00951,0,DB01181$t
DB00883,DB00270,0,DB00215$h
DB01151,DB01241,0,DB00557$t
DB00604,DB09198,0,DB01351$t
DB00829,DB00544,0,DB00321$t
DB00195,DB00835,0,DB06710$h
DB00278,DB00176,0,DB06700$t
DB00169,DB01065,0,DB00903$t
DB01126,DB00199,0,DB00688$t
DB00215,DB00371,0,DB00491$t
DB00476,DB09053,0,DB00613$t
DB06413,DB00395,0,DB00916$t
DB00169,DB01028,0,DB01046$t
DB01118,DB01544,0,DB00845$h
DB01240,DB09198,0,DB06716$h
DB00546,DB00270,0,DB09280$t
DB00240,DB01149,0,DB06736$h
DB00257,DB04840,0,DB13783$h
DB06203,DB00283,0,DB00603$h
DB01218,DB00951,0,DB01067$h
DB00176,DB00222,0,DB00950$h
DB00307,DB00091,0,DB01005$t
DB00091,DB00280,0,DB00527$t
DB00320,DB00674,0,DB01137$h
DB00568,DB00997,0,DB00222$h
DB00589,DB04871,0,DB01170$h
DB00446,DB01181,0,DB01195$t
DB03756,DB01095,0,DB01046$h
DB00201,DB00758,0,DB00461$h
DB01241,DB14011,0,DB05351$t
DB00490,DB00343,0,DB09338$h
DB00254,DB06148,0,DB11691$h
DB01426,DB00608,0,DB06637$h
DB00521,DB01151,0,DB01587$t
DB01026,DB05246,0,DB00343$h
DB01136,DB00482,0,DB08932$t
DB09198,DB00678,0,DB00907$t
DB09167,DB00590,0,DB00357$t
DB00289,DB00270,0,DB08815$t
DB00320,DB14011,0,DB06725$t
DB00289,DB00294,0,DB01429$t
DB00343,DB01248,0,DB06736$h
DB00199,DB00458,0,DB00921$t
DB01241,DB01028,0,DB00861$t
DB00612,DB00951,0,DB00381$h
DB00216,DB01403,0,DB09039$h
DB06292,DB01095,0,DB08906$t
DB00395,DB09119,0,DB00333$h
DB01118,DB00185,0,DB00266$h
DB13955,DB01095,0,DB00546$h
DB01191,DB04871,0,DB01094$h
DB01219,DB00270,0,DB01233$h
DB00289,DB01244,0,DB01408$h
DB01244,DB00257,0,DB00199$h
DB01075,DB01218,0,DB01095$h
DB00176,DB01183,0,DB08868$t
DB00199,DB04835,0,DB00872$t
DB00270,DB00451,0,DB00967$t
DB01156,DB00458,0,DB01009$t
DB00283,DB11633,0,DB00215$t
DB00322,DB00471,0,DB11828$t
DB00751,DB00227,0,DB00523$h
DB00320,DB09262,0,DB00773$h
DB01118,DB00482,0,DB09049$t
DB00501,DB00849,0,DB00627$t
DB00619,DB00603,0,DB01403$h
DB01175,DB09119,0,DB00805$h
DB01242,DB01071,0,DB01183$h
DB00254,DB00622,0,DB01558$t
DB00637,DB00907,0,DB01437$t
DB00289,DB09119,0,DB06637$t
DB01211,DB00451,0,DB01612$h
DB00983,DB01171,0,DB00482$t
DB00921,DB00501,0,DB11828$h
DB03128,DB01012,0,DB00486$h
DB06203,DB06595,0,DB00394$t
DB00289,DB01587,0,DB09235$t
DB00482,DB01142,0,DB04794$t
DB00091,DB00448,0,DB00370$h
DB08893,DB00295,0,DB00245$h
DB01223,DB09198,0,DB09285$t
DB09119,DB01259,0,DB01046$t
DB09555,DB00458,0,DB00631$h
DB01050,DB00678,0,DB01380$h
DB00343,DB00724,0,DB00207$t
DB00972,DB00270,0,DB00182$t
DB00188,DB00502,0,DB01159$h
DB00289,DB09223,0,DB00648$h
DB01175,DB01403,0,DB00636$t
DB00322,DB01065,0,DB01418$t
DB00091,DB04841,0,DB00443$h
DB00257,DB01183,0,DB01194$h
DB00245,DB01171,0,DB00150$t
DB00169,DB09166,0,DB00461$h
DB00169,DB00199,0,DB06230$t
DB05812,DB01018,0,DB04845$t
DB00918,DB00363,0,DB01577$t
DB09167,DB00589,0,DB01213$t
DB00921,DB00199,0,DB00502$h
DB00934,DB08893,0,DB00332$t
DB00370,DB01149,0,DB00514$h
DB00297,DB00227,0,DB01097$t
DB00278,DB08865,0,DB01274$t
DB00590,DB00951,0,DB00146$h
DB06789,DB00619,0,DB06605$t
DB00482,DB00843,0,DB08899$t
DB01206,DB00333,0,DB00222$h
DB00188,DB00947,0,DB00613$h
DB00829,DB06595,0,DB00586$h
DB00736,DB09198,0,DB01020$h
DB01075,DB04841,0,DB00861$t
DB00091,DB01227,0,DB04953$h
DB00472,DB00623,0,DB00711$t
DB03128,DB01118,0,DB00295$h
DB01026,DB01065,0,DB01221$t
DB00328,DB00745,0,DB06230$h
DB01197,DB00496,0,DB04794$t
DB00343,DB00471,0,DB06230$t
DB13954,DB01026,0,DB00648$t
DB00969,DB00678,0,DB00295$t
DB13955,DB00379,0,DB14006$t
DB00199,DB04574,0,DB00784$t
DB01587,DB01026,0,DB01176$h
DB00972,DB01241,0,DB04817$h
DB00289,DB06701,0,DB00737$t
DB00476,DB00731,0,DB01177$h
DB00289,DB00724,0,DB00555$t
DB00758,DB00227,0,DB01135$t
DB01466,DB00951,0,DB08907$t
DB00322,DB00370,0,DB01418$h
DB00276,DB00951,0,DB01576$t
DB01244,DB06595,0,DB01018$t
DB00969,DB00215,0,DB01183$h
DB01101,DB13954,0,DB00745$t
DB00546,DB01171,0,DB00186$t
DB00845,DB01149,0,DB00969$h
DB01095,DB14011,0,DB00471$h
DB00176,DB01028,0,DB12364$h
DB00199,DB08893,0,DB12267$t
DB00472,DB01241,0,DB00445$t
DB09039,DB00379,0,DB01068$h
DB00283,DB01396,0,DB06403$t
DB00647,DB00619,0,DB12001$t
DB00169,DB04840,0,DB01110$t
DB06203,DB00195,0,DB00990$t
DB09061,DB00215,0,DB01364$h
DB00207,DB00176,0,DB00887$h
DB08907,DB01026,0,DB00542$h
DB01156,DB04855,0,DB00278$t
DB01095,DB01067,0,DB01248$t
DB00297,DB00201,0,DB01213$t
DB00757,DB08893,0,DB06702$h
DB00257,DB00745,0,DB00353$t
DB00169,DB00227,0,DB00170$t
DB00476,DB01195,0,DB00631$t
DB00758,DB00091,0,DB01400$t
DB00207,DB00356,0,DB00969$h
DB00215,DB00843,0,DB00784$t
DB01211,DB06789,0,DB00712$t
DB00195,DB01195,0,DB01137$t
DB00757,DB01149,0,DB01204$h
DB00945,DB00544,0,DB01576$h
DB00604,DB01241,0,DB14011$t
DB04841,DB01026,0,DB00588$h
DB01435,DB00188,0,DB00688$h
DB00207,DB01151,0,DB01107$h
DB01248,DB01026,0,DB00091$t
DB00636,DB08865,0,DB00719$h
DB01259,DB00281,0,DB00211$h
DB04920,DB06595,0,DB00035$h
DB04855,DB11737,0,DB09031$h
DB00316,DB01101,0,DB00367$t
DB00289,DB01068,0,DB00883$h
DB06772,DB00482,0,DB09555$t
DB00758,DB00531,0,DB08865$h
DB00262,DB09167,0,DB09338$t
DB00307,DB00257,0,DB00170$t
DB01380,DB01026,0,DB00788$t
DB00499,DB09198,0,DB00631$t
DB00604,DB00736,0,DB01228$h
DB00276,DB01151,0,DB06262$h
DB00257,DB01039,0,DB04861$h
DB00201,DB01028,0,DB00227$t
DB09039,DB01628,0,DB11560$h
DB11737,DB01167,0,DB00414$h
DB01118,DB00245,0,DB00211$t
DB13874,DB00472,0,DB00248$h
DB00458,DB01167,0,DB01137$h
DB00289,DB09061,0,DB06216$t
DB00608,DB01228,0,DB00150$t
DB01067,DB01026,0,DB00448$h
DB00470,DB00745,0,DB01170$t
DB00502,DB01171,0,DB00358$t
DB00188,DB13956,0,DB00748$h
DB00501,DB00590,0,DB06777$h
DB00446,DB00472,0,DB00278$t
DB00169,DB00916,0,DB01193$h
DB00333,DB06148,0,DB00446$t
DB06700,DB01026,0,DB01235$t
DB05812,DB05351,0,DB00528$t
DB05219,DB06292,0,DB09026$t
DB00751,DB00199,0,DB01119$h
DB00674,DB08893,0,DB00993$t
DB00169,DB00327,0,DB00969$h
DB01136,DB01012,0,DB00228$h
DB00987,DB01167,0,DB01200$t
DB00333,DB00745,0,DB00903$t
DB00802,DB00283,0,DB00211$h
DB08907,DB00320,0,DB01086$h
DB01039,DB00270,0,DB03128$t
DB00612,DB04871,0,DB00622$h
DB00199,DB12010,0,DB00998$h
DB13953,DB00270,0,DB01166$h
DB00482,DB00185,0,DB00496$h
DB00254,DB04946,0,DB00537$h
DB01118,DB01274,0,DB00640$h
DB00343,DB00458,0,DB00700$t
DB01559,DB00254,0,DB00695$t
DB00176,DB00933,0,DB00694$t
DB00584,DB00199,0,DB09195$h
DB01156,DB00422,0,DB00918$t
DB00199,DB00528,0,DB00185$h
DB00257,DB00762,0,DB00678$h
DB00829,DB01171,0,DB00257$t
DB00448,DB01097,0,DB00211$t
DB00307,DB09167,0,DB01011$h
DB00544,DB01177,0,DB00185$h
DB01274,DB00283,0,DB06616$h
DB00257,DB12010,0,DB06774$t
DB09198,DB00731,0,DB06282$h
DB00972,DB01149,0,DB00185$t
DB00091,DB00678,0,DB00673$t
DB00245,DB01156,0,DB00959$h
DB00201,DB01002,0,DB00307$h
DB00501,DB00933,0,DB00115$t
DB00289,DB00367,0,DB00204$t
DB04794,DB00678,0,DB00753$t
DB09223,DB04855,0,DB00544$t
DB05219,DB01221,0,DB11737$h
DB01242,DB00531,0,DB00528$t
DB00363,DB00983,0,DB11638$t
DB01101,DB00333,0,DB01149$h
DB00490,DB00363,0,DB00628$t
DB00673,DB00289,0,DB00574$h
DB00544,DB01018,0,DB01394$t
DB01095,DB00788,0,DB00523$h
DB00207,DB00829,0,DB01283$h
DB00918,DB08865,0,DB00603$h
DB01012,DB00622,0,DB04817$h
DB00091,DB00333,0,DB00394$t
DB00518,DB01149,0,DB04845$h
DB00254,DB00332,0,DB00366$t
DB01283,DB00745,0,DB00470$t
DB00343,DB09167,0,DB00575$h
DB05812,DB00307,0,DB00773$h
DB00199,DB00176,0,DB00804$h
DB00477,DB06148,0,DB00590$h
DB01095,DB00327,0,DB01435$h
DB00476,DB13874,0,DB01028$h
DB00637,DB09039,0,DB00677$h
DB00543,DB09167,0,DB01213$t
DB09167,DB11737,0,DB01161$h
DB00289,DB12267,0,DB00928$t
DB01023,DB00836,0,DB01195$t
DB00201,DB00170,0,DB06777$t
DB01559,DB00199,0,DB01107$t
DB06700,DB01149,0,DB04920$h
DB06736,DB00544,0,DB00146$h
DB01012,DB06701,0,DB00186$h
DB00477,DB01167,0,DB04855$t
DB00608,DB01026,0,DB00690$t
DB01151,DB09048,0,DB06800$t
DB00907,DB01177,0,DB00546$t
DB01197,DB00176,0,DB00643$h
DB00655,DB01097,0,DB00591$t
DB05812,DB08932,0,DB09128$t
DB00185,DB00608,0,DB00122$h
DB09119,DB00983,0,DB00731$t
DB01156,DB00924,0,DB00700$h
DB05812,DB01067,0,DB01216$t
DB00758,DB09167,0,DB13874$h
DB00188,DB00608,0,DB01206$h
DB01029,DB06738,0,DB09282$t
DB00969,DB00343,0,DB00521$t
DB13874,DB00270,0,DB01119$t
DB00796,DB09198,0,DB01234$h
DB00215,DB00332,0,DB00518$h
DB00169,DB00575,0,DB06689$t
DB00866,DB00215,0,DB01380$h
DB00316,DB01097,0,DB01195$h
DB00257,DB09166,0,DB12267$t
DB00254,DB01196,0,DB09280$h
DB01029,DB00448,0,DB00990$h
DB00091,DB09078,0,DB00248$t
DB01211,DB00751,0,DB00804$t
DB00215,DB00317,0,DB00381$h
DB01120,DB01026,0,DB09232$h
DB01151,DB01221,0,DB00711$h
DB00201,DB00898,0,DB00436$t
DB00321,DB00501,0,DB00934$t
DB00496,DB00598,0,DB00584$t
DB00289,DB01126,0,DB01407$t
DB00343,DB01016,0,DB00441$h
DB04855,DB00883,0,DB01248$t
DB00477,DB00343,0,DB01222$h
DB05039,DB01149,0,DB00875$h
DB00320,DB01215,0,DB01228$t
DB00318,DB01167,0,DB01142$h
DB00501,DB00889,0,DB05541$h
DB09167,DB01159,0,DB00518$t
DB03128,DB01156,0,DB00724$h
DB00983,DB01026,0,DB00317$t
DB00501,DB13953,0,DB09280$t
DB00496,DB00622,0,DB00346$t
DB00951,DB00448,0,DB06725$t
DB00608,DB00805,0,DB00633$h
DB00297,DB00270,0,DB01183$h
DB13952,DB01171,0,DB01039$t
DB00724,DB00270,0,DB00808$t
DB01068,DB01149,0,DB00528$h
DB00586,DB00254,0,DB00731$h
DB00199,DB00731,0,DB00845$h
DB00628,DB00176,0,DB00195$t
DB00674,DB01403,0,DB00207$h
DB01195,DB00951,0,DB00455$t
DB12267,DB00091,0,DB12267$t
DB01435,DB01023,0,DB06716$t
DB00289,DB00528,0,DB06691$h
DB00254,DB00736,0,DB06772$t
DB03128,DB09167,0,DB04871$h
DB00201,DB01355,0,DB00528$t
DB00188,DB00294,0,DB01576$h
DB00270,DB00528,0,DB00477$t
DB09167,DB00933,0,DB08912$h
DB01012,DB01167,0,DB00969$t
DB00169,DB11560,0,DB01213$t
DB04574,DB00619,0,DB00968$h
DB01435,DB00458,0,DB00437$h
DB00575,DB00379,0,DB12483$t
DB01223,DB00283,0,DB05246$t
DB01075,DB08868,0,DB00228$t
DB00281,DB01065,0,DB00589$h
DB00543,DB01156,0,DB00471$t
DB00546,DB01211,0,DB00990$h
DB01026,DB14011,0,DB06282$h
DB00195,DB00988,0,DB00280$t
DB01274,DB00502,0,DB00979$t
DB00482,DB00317,0,DB00294$t
DB00918,DB00201,0,DB00294$t
DB01026,DB01227,0,DB12267$h
DB00195,DB04946,0,DB01223$t
DB05219,DB01357,0,DB01176$t
DB01142,DB01095,0,DB00703$h
DB00207,DB13953,0,DB00515$h
DB01118,DB00327,0,DB00604$t
DB00201,DB13954,0,DB00956$h
DB06413,DB00470,0,DB00204$h
DB00283,DB00379,0,DB00322$h
DB01114,DB00169,0,DB00996$h
DB06605,DB00207,0,DB05351$h
DB06403,DB00289,0,DB03756$h
DB08865,DB00751,0,DB01135$t
DB01156,DB00751,0,DB01176$t
DB06403,DB01026,0,DB00134$h
DB00530,DB01259,0,DB00969$t
DB00751,DB00502,0,DB13139$h
DB00188,DB00322,0,DB00648$h
DB01435,DB00343,0,DB06691$t
DB12161,DB00320,0,DB00907$t
DB13074,DB01149,0,DB09048$h
DB11901,DB00254,0,DB00467$h
DB03128,DB00363,0,DB06148$t
DB00281,DB00978,0,DB00612$t
DB01118,DB00422,0,DB00648$t
DB00289,DB01195,0,DB01033$t
DB00544,DB01029,0,DB00875$t
DB00195,DB00370,0,DB09235$h
DB00543,DB00195,0,DB00769$t
DB00176,DB00674,0,DB00804$t
DB01075,DB08918,0,DB00394$h
DB01075,DB04871,0,DB11901$t
DB06605,DB00745,0,DB01195$h
DB09119,DB01065,0,DB00869$t
DB00169,DB00788,0,DB00471$h
DB00546,DB09119,0,DB01136$h
DB00201,DB01151,0,DB01221$t
DB00802,DB00176,0,DB01212$t
DB01118,DB01283,0,DB01612$t
DB01114,DB00320,0,DB01191$h
DB00289,DB00757,0,DB00204$t
DB04920,DB01403,0,DB05351$t
DB00321,DB01029,0,DB11560$t
DB01248,DB00199,0,DB00262$h
DB00749,DB01095,0,DB00603$t
DB00907,DB00327,0,DB00437$t
DB00240,DB00619,0,DB00400$t
DB00458,DB00951,0,DB01283$h
DB00188,DB09262,0,DB00484$h
DB00257,DB00829,0,DB01320$h
DB04840,DB06595,0,DB01043$h
DB01114,DB06595,0,DB09063$h
DB01211,DB00688,0,DB01018$h
DB01156,DB00575,0,DB00602$h
DB00283,DB00602,0,DB08897$h
DB00972,DB00608,0,DB01094$h
DB00802,DB01026,0,DB00467$h
