Epoch,Train Loss,Val Loss,Train Accuracy,Val Accuracy,Train PR,Val PR,Train F1,Val F1,Train Recall,Val Recall
1,2.3925,1.6034,0.366,0.4944,0.102,0.1959,0.0599,0.132,0.0508,0.1159
2,1.3619,1.2273,0.5809,0.6269,0.342,0.3526,0.2042,0.2604,0.1741,0.2457
3,1.0886,0.9447,0.6514,0.7065,0.4056,0.4677,0.3296,0.3605,0.2952,0.3274
4,0.8843,0.834,0.715,0.7309,0.5822,0.5392,0.478,0.4458,0.4348,0.4313
5,0.7733,0.7288,0.7463,0.7667,0.6464,0.6259,0.555,0.562,0.509,0.5607
6,0.6712,0.7132,0.7744,0.7708,0.7261,0.6388,0.633,0.5513,0.5883,0.5201
7,0.6117,0.6104,0.7946,0.8058,0.7583,0.6936,0.6692,0.616,0.6231,0.5967
8,0.548,0.5738,0.8101,0.8131,0.7608,0.7325,0.6885,0.6501,0.6477,0.6166
9,0.4916,0.5393,0.8317,0.8259,0.7889,0.7031,0.7336,0.6443,0.7034,0.6151
10,0.4512,0.5565,0.8416,0.8262,0.8213,0.7105,0.7695,0.6429,0.7385,0.6308
11,0.4208,0.5345,0.8539,0.8251,0.808,0.7191,0.7857,0.6453,0.7687,0.6114
12,0.3888,0.5201,0.8656,0.8324,0.8672,0.6836,0.8138,0.6258,0.7834,0.6106
13,0.3641,0.4989,0.8743,0.8431,0.8448,0.7469,0.8217,0.6982,0.8055,0.6839
14,0.3382,0.4895,0.8791,0.8511,0.8529,0.7204,0.8349,0.6846,0.8209,0.6753
15,0.3185,0.4713,0.8866,0.8479,0.8816,0.7561,0.8539,0.7141,0.835,0.7064
16,0.2979,0.4703,0.8907,0.8511,0.8623,0.7273,0.8419,0.6924,0.8266,0.6835
17,0.2863,0.4755,0.8992,0.8527,0.881,0.7776,0.8498,0.7258,0.8315,0.7071
18,0.2759,0.456,0.8985,0.8492,0.89,0.7365,0.8712,0.7041,0.8578,0.694
19,0.2615,0.4621,0.9077,0.8554,0.8849,0.7878,0.87,0.74,0.8595,0.716
20,0.2495,0.4837,0.91,0.8583,0.9094,0.7936,0.8868,0.7527,0.872,0.7411
21,0.2337,0.4539,0.9153,0.861,0.9069,0.7618,0.8914,0.722,0.88,0.7138
22,0.2285,0.4619,0.9174,0.8583,0.9059,0.7934,0.8804,0.7196,0.8626,0.6882
23,0.2209,0.4857,0.9197,0.8599,0.9065,0.7974,0.8936,0.7494,0.8832,0.7401
24,0.2028,0.4522,0.9268,0.8637,0.9236,0.7458,0.9146,0.6974,0.9097,0.6864
25,0.2042,0.4512,0.9277,0.864,0.9287,0.7716,0.9108,0.7367,0.8973,0.7279
26,0.206,0.4502,0.9257,0.8656,0.9054,0.7847,0.889,0.7289,0.8783,0.7209
27,0.183,0.4767,0.9328,0.8634,0.9298,0.7988,0.9135,0.7426,0.9009,0.7109
28,0.1855,0.4525,0.9336,0.8664,0.9224,0.7753,0.9121,0.7408,0.9041,0.7293
